eth_time,eth_price,eth_high,eth_low,eth_24hourhigh,eth_24hourlow,eth_nexthourprice,eth_nextdayprice,eth_nextweekprice,btc_time,btc_price,btc_high,btc_low,btc_24hourhigh,btc_24hourlow,btc_nexthourprice,btc_nextdayprice,btc_nextweekprice
2021-06-01T00:00:00.000-07:00,2649.161148556172,2672.2623043394283,2647.276501285817,2672.2623043394283,2647.276501285817,2576.7825896659515,2684.1120599798182,2509.352579275846,2021-06-01T00:00:00.000-07:00,36840.12897665463,36840.12897665463,37061.700517943216,36840.12897665463,37061.700517943216,36065.129068682196,37242.34362614732,33009.937710525584
2021-06-01T01:00:00.000-07:00,2576.7825896659515,2660.1168839005677,2516.6115376318207,2672.2623043394283,2516.6115376318207,2577.9686867268156,2693.0104125062257,2530.710135299939,2021-06-01T01:00:00.000-07:00,36065.129068682196,36022.563261944866,36874.95823104805,36840.12897665463,36874.95823104805,36281.143101800975,37279.73401229325,33186.38082497887
2021-06-01T02:00:00.000-07:00,2577.9686867268156,2587.560107491074,2565.8289118840407,2672.2623043394283,2516.6115376318207,2598.4584469656133,2691.433944100019,2505.0133955463857,2021-06-01T02:00:00.000-07:00,36281.143101800975,36096.84478889773,36281.143101800975,36840.12897665463,36281.143101800975,36384.48042565274,37365.00841414398,32847.73902587063
2021-06-01T03:00:00.000-07:00,2598.4584469656133,2602.949765992503,2573.3669745404964,2672.2623043394283,2516.6115376318207,2618.08597319635,2683.1518645550664,2498.3796628730925,2021-06-01T03:00:00.000-07:00,36384.48042565274,36235.98295750991,36427.48645594636,36840.12897665463,36281.143101800975,36625.708734142616,37222.89871469695,32717.74638578681
2021-06-01T04:00:00.000-07:00,2618.08597319635,2621.9634085521343,2595.5252964715833,2672.2623043394283,2516.6115376318207,2580.4201688684734,2690.468541880227,2521.2063121533743,2021-06-01T04:00:00.000-07:00,36625.708734142616,36415.755303723294,36625.708734142616,36840.12897665463,36281.143101800975,36244.057012312885,37245.345748945576,32997.65327039076
2021-06-01T05:00:00.000-07:00,2580.4201688684734,2620.0796085764,2526.4767717659543,2672.2623043394283,2516.6115376318207,2635.238251747245,2702.008802828535,2506.1109831641947,2021-06-01T05:00:00.000-07:00,36244.057012312885,36163.936494843176,36625.18593075766,36840.12897665463,36281.143101800975,37099.44738484026,37352.589268162366,32950.6363304611
2021-06-01T06:00:00.000-07:00,2635.238251747245,2640.8953461410943,2511.9965617911666,2672.2623043394283,2511.9965617911666,2603.4505196087453,2729.192726337204,2450.143452693524,2021-06-01T06:00:00.000-07:00,37099.44738484026,35849.58084972228,37269.59373583868,36840.12897665463,36281.143101800975,36702.869801894354,37721.22828687071,32551.94928789713
2021-06-01T07:00:00.000-07:00,2603.4505196087453,2631.75185638241,2540.438755035379,2672.2623043394283,2511.9965617911666,2573.0047553166337,2760.2843234721477,2373.6229549779123,2021-06-01T07:00:00.000-07:00,36702.869801894354,36702.86980189436,37103.02780066111,36840.12897665463,36281.143101800975,36277.01631464715,37976.180794609165,31503.016303760356
2021-06-01T08:00:00.000-07:00,2573.0047553166337,2597.5989666444516,2568.728132640023,2672.2623043394283,2511.9965617911666,2547.3035060226357,2779.8931443370966,2369.9960751532744,2021-06-01T08:00:00.000-07:00,36277.01631464715,36266.09100625955,36657.47138604516,36840.12897665463,36281.143101800975,35952.82567827042,38091.92532868289,31691.79994469432
2021-06-01T09:00:00.000-07:00,2547.3035060226357,2581.705223692727,2501.248690256354,2672.2623043394283,2501.248690256354,2551.227290757807,2760.8386305222703,2406.7403248599553,2021-06-01T09:00:00.000-07:00,35952.82567827042,35952.82567827041,36234.75490757239,36840.12897665463,36234.75490757239,35990.88734944733,37904.48025702056,32006.259365698832
2021-06-01T10:00:00.000-07:00,2551.227290757807,2558.9609906983815,2371.249232965183,2672.2623043394283,2371.249232965183,2564.905885929773,2764.1567932780617,2412.6706001101625,2021-06-01T10:00:00.000-07:00,35990.88734944733,35831.897117483175,35995.935654416135,36840.12897665463,35995.935654416135,36244.45083890909,37923.428489498045,32036.27947322226
2021-06-01T11:00:00.000-07:00,2564.905885929773,2571.1324516976442,2476.9608048059913,2672.2623043394283,2371.249232965183,2545.896035161998,2768.246583703997,2473.7333288628242,2021-06-01T11:00:00.000-07:00,36244.45083890909,36074.60259301879,36244.45083890909,36840.12897665463,35995.935654416135,35896.99599698586,38005.86190855896,32580.586050893682
2021-06-01T12:00:00.000-07:00,2545.896035161998,2570.789036504278,2515.5835148547994,2672.2623043394283,2371.249232965183,2560.4257603726487,2758.1806316455322,2491.2790340700117,2021-06-01T12:00:00.000-07:00,35896.99599698586,35889.87397440439,36223.11773921621,36840.12897665463,35995.935654416135,36158.29437531215,37959.97663465979,32889.44899200043
2021-06-01T13:00:00.000-07:00,2560.4257603726487,2564.406475111536,2543.6594135634664,2672.2623043394283,2371.249232965183,2577.29670265206,2734.705962739957,2536.141128110208,2021-06-01T13:00:00.000-07:00,36158.29437531215,35929.08280794353,36158.29437531215,36840.12897665463,35995.935654416135,36353.61423953738,37683.58114455012,33554.239689145994
2021-06-01T14:00:00.000-07:00,2577.29670265206,2582.7316418718406,2554.777595921137,2672.2623043394283,2371.249232965183,2584.2712055823336,2734.337189019574,2523.933067554248,2021-06-01T14:00:00.000-07:00,36353.61423953738,36179.1717608341,36358.04237787578,36840.12897665463,35995.935654416135,36359.418856652,37762.079515581034,33487.727147691156
